Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommended Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Laundry,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Street Address
Fiesta Place II,217904,05/11/2011 12:00:00 AM,7%,15%,N\A,Complete,1972,Yes,Gas and Electric,25,12.41,02/26/2016 12:00:00 AM,"4206 Avenue
A Austin, TX 78751
(30.30756, -97.73388)"
Villas Of Quail Creek,243037,10/30/2012 12:00:00 AM,26%,10%,30,Needed,1982,Yes,Electric,172,12.15,02/26/2016 12:00:00 AM,"9036 N Lamar Blvd
Austin, TX 78753
(30.360149, -97.698668)"
Westheimer Regency Ilp,229156,01/29/2013 12:00:00 AM,28.2%,10%,15,Needed,1972,Yes,Electric,123,11.99,02/26/2016 12:00:00 AM,"7020 Grand Canyon Dr
Austin, TX 78752
(30.326079, -97.69507)"
Alexan Rattan Creek Apartments,R090204,05/17/2011 12:00:00 AM,20%,10%,23,Needed,2000,Yes,Electric,344,8.65,02/26/2016 12:00:00 AM,"7011 W Parmer Ln
Austin, TX 78729
(30.451384, -97.749165)"
La Casa,100349,04/16/2013 12:00:00 AM,45%,15%,15,Needed,1970,Yes,Gas and Electric,20,6.54,02/26/2016 12:00:00 AM,"2024 GOODRICH AVE
Austin, TX 78704
(30.24997, -97.772558)"
Capitol Village Apartments Ii,225802,06/03/2011 12:00:00 AM,28%,15%,12,Complete,1969,No,Electric,59,11.47,02/26/2016 12:00:00 AM,"7033 E Hwy
Austin, TX 78723
(30.321561, -97.684276)"
Creekwood Village,230698,05/23/2011 12:00:00 AM,15%,15%,19,Needed,1983,Yes,Electric,96,11.38,02/26/2016 12:00:00 AM,"1601 E Anderson Lane
Austin, TX 78752
(30.331176, -97.683984)"
820 Houston St,226509,11/09/2012 12:00:00 AM,29%,10%,12,Needed,1966,Yes,Gas and Electric,16,7.6,02/26/2016 12:00:00 AM,"820 HOUSTON ST
Austin, TX 78756
(30.323602, -97.728951)"
502 W 35th,212884,02/01/2011 12:00:00 AM,43%,10%,11,Complete,1972,No,Electric,10,12.96,02/26/2016 12:00:00 AM,"502 W 35th
Austin, TX 78751
(30.300804, -97.738253)"
Circle Oaks II,230074,09/27/2011 12:00:00 AM,59%,10%,13,Complete,1984,Yes,Electric,21,14.8,02/26/2016 12:00:00 AM,"6409 Burns St
Austin, TX 78752
(30.331532, -97.721124)"
Madison @ The Aboretum,375765,04/15/2011 12:00:00 AM,10.9%,10%,19,Needed,1985,No,Electric,161,11.47,02/26/2016 12:00:00 AM,"10307 Morado Cove
Austin, TX 78759
(30.401681, -97.752974)"
The Renaissance At North Bend,369566,07/08/2011 12:00:00 AM,23%,15%,22,Complete,1999,No,Gas and Electric,366,7.19,02/26/2016 12:00:00 AM,"12345 Lamplight Village Ave
Austin, TX 78758
(30.412264, -97.69664)"
Polo Club,R321689,05/12/2011 12:00:00 AM,16%,10%,14,Complete,1986,Yes,Electric,304,11.78,02/26/2016 12:00:00 AM,"8519 Cahill
Austin, TX 78729
(30.444443, -97.774758)"
The Current,289154,05/06/2011 12:00:00 AM,10.4%,10%,30,Complete,1974,Yes,Electric,298,10.93,02/26/2016 12:00:00 AM,"2005 Willow Creek
Austin, TX 78741
(30.232355, -97.729313)"
Mission Grace Woods,290115,05/04/2011 12:00:00 AM,13.7%,15%,11,Needed,1981,Yes,Electric,250,11.67,02/26/2016 12:00:00 AM,"3209 S Ih
Austin, TX 78741
(30.224812, -97.746035)"
The Oaks Apartments,305578,03/10/2011 12:00:00 AM,13%,15%,30,Complete,1973,No,Electric,100,9.71,02/26/2016 12:00:00 AM,"130 Cumberland Rd
Austin, TX 78704
(30.236173, -97.757702)"
Northchase Apartments,246686,06/12/2014 12:00:00 AM,11%,10%,16,Complete,1983,Yes,Electric,120,15.89,02/26/2016 12:00:00 AM,"306 W Rundberg Ln
Austin, TX 78753
(30.36203, -97.694867)"
Denson Apartments,230102,11/02/2012 12:00:00 AM,43%,15%,N\A,Needed,1968,Yes,Electric,12,13.2,02/26/2016 12:00:00 AM,"704 DENSON DR
Austin, TX 78752
(30.32982, -97.722499)"
Robbins Place Apartments,112501,05/26/2011 12:00:00 AM,30%,10%,N\A,Needed,1986,No,Electric,8,9.12,02/26/2016 12:00:00 AM,"1904 Robbins Place
Austin, TX 78705
(30.284322, -97.749406)"
Academy Apartments,282780,11/01/2012 12:00:00 AM,9%,10%,19,Complete,1973,Yes,Electric,10,11.1,02/26/2016 12:00:00 AM,"201 ACADEMY DR
Austin, TX 78704
(30.251733, -97.746099)"
Walnut Creek,219376,05/19/2011 12:00:00 AM,20%,10%,30,Complete,1991,Yes,Gas and Electric,98,7.63,02/26/2016 12:00:00 AM,"6409 Springdale
Austin, TX 78723
(30.307201, -97.669664)"
Greenhouse Condos,216558,10/19/2011 12:00:00 AM,,N\A,38,Needed,1962,No,Gas and Electric,6,4.74,02/26/2016 12:00:00 AM,"1311 E 52Nd St
Austin, TX 78723
(30.308255, -97.7049)"
Arbors Of Austin,249161,05/11/2011 12:00:00 AM,15%,10%,8,Complete,1984,Yes,Electric,226,15.4,02/26/2016 12:00:00 AM,"1070 Mearns Meadow Blvd
Austin, TX 78758
(30.369208, -97.699851)"
Atrium,226576,04/27/2011 12:00:00 AM,20%,15%,N\A,Needed,1967,Yes,Electric,16,6.47,02/26/2016 12:00:00 AM,"816 W North Loop
Austin, TX 78756
(30.321675, -97.730665)"
Casa Del Sol,229690,06/29/2011 12:00:00 AM,47%,10%,N\A,Needed,1969,Yes,Gas and Electric,29,7.95,02/26/2016 12:00:00 AM,"5403 Jeff
Davis Austin, TX 78756
(30.327291, -97.738536)"
Conquistador Apartments,203652,10/05/2010 12:00:00 AM,67%,10%,13,Needed,1966,No,Gas and Electric,10,10.46,02/26/2016 12:00:00 AM,"2101 San
Gabriel Austin, TX 78705
(30.285019, -97.748139)"
Shady Oaks,205433,05/24/2011 12:00:00 AM,8.7%,15%,N\A,Complete,1964,Yes,Electric,42,8.48,02/26/2016 12:00:00 AM,"2700 Manor Road
Austin, TX 78722
(30.28509, -97.714161)"
Quail Run Apartments,252119,04/18/2011 12:00:00 AM,10%,10%,12,Complete,1984,Yes,Electric,132,14.87,02/26/2016 12:00:00 AM,"1200 Mearns Meadow
Austin, TX 78758
(30.370912, -97.702158)"
Fountain Terrace Apartments,211318,05/27/2011 12:00:00 AM,30%,10%,N\A,Complete,1966,Yes,Gas and Electric,67,8.29,02/26/2016 12:00:00 AM,"610 W 30Th St
Austin, TX 78705
(30.296954, -97.742558)"
Melroy Apartments,212980,02/22/2010 12:00:00 AM,,N\A,24,Needed,1972,Yes,Electric,12,8.13,02/26/2016 12:00:00 AM,"3408 Speedway
Austin, TX 78705
(30.298766, -97.73471)"
Granada Iii Apartments,211802,02/01/2012 12:00:00 AM,,N\A,N\A,Needed,1972,No,Gas and Electric,68,10.52,02/26/2016 12:00:00 AM,"901 E 40Th St
Austin, TX 78751
(30.298387, -97.722285)"
University Village,507740,12/17/2010 12:00:00 AM,26%,15%,19,Complete,2001,No,Electric,348,12.17,02/26/2016 12:00:00 AM,"1301 Crossing Place
Austin, TX 78741
(30.23664, -97.713931)"
Cannon Place Apartments,328472,01/12/2012 12:00:00 AM,31.3%,15%,14,Complete,1984,Yes,Electric,185,13.63,02/26/2016 12:00:00 AM,"1500 W William
Cannon Austin, TX 78745
(30.200812, -97.799888)"
River Stone Ranch,314369,04/05/2011 12:00:00 AM,53%,15%,15,Complete,1998,Yes,Electric,448,11.38,02/26/2016 12:00:00 AM,"5701 S Mopac Expressway
Austin, TX 78749
(30.228094, -97.828726)"
"Shoal Creek Arms I, Ii, Iii",248605,01/17/2014 12:00:00 AM,8.6%,15%,38,Complete,1971,No,Gas and Electric,23,6.46,02/26/2016 12:00:00 AM,"8515 Shoal Creek
Austin, TX 78757
(30.370647, -97.737692)"
The Barrington At Park Place,"504104, 504105",02/01/2011 12:00:00 AM,6.7%,10%,30,Complete,1984,Yes,Electric,294,13.09,02/26/2016 12:00:00 AM,"3220 Duval Rd
Austin, TX 78759
(30.410377, -97.717082)"
Quail Park Village,252117,04/08/2011 12:00:00 AM,28%,10%,30,Complete,1976,No,Gas and Electric,48,6.66,02/26/2016 12:00:00 AM,"9844 QUAIL BLVD
Austin, TX 78758
(30.37182, -97.700847)"
Peyton Place Apartments,244729,03/08/2011 12:00:00 AM,27%,10%,18,Complete,1983,Yes,Electric,36,16.15,02/26/2016 12:00:00 AM,"1611 Payton Gin Rd
Austin, TX 78758
(30.364623, -97.715183)"
Buena Vista at Riata,444090,12/08/2010 12:00:00 AM,69%,15%,22,Complete,2000,Yes,Gas and Electric,254,7.4,02/26/2016 12:00:00 AM,"12440 Alameda Trace Circle
Austin, TX 78727
(30.429745, -97.744245)"
The Presidio,R392272,03/06/2013 12:00:00 AM,75%,15%,25,Complete,2002,Yes,Gas and Electric,250,7.28,02/26/2016 12:00:00 AM,"10015 Lake Creek Parkway
Austin, TX 78717
(30.467082, -97.787465)"
Carmel,230106,05/23/2011 12:00:00 AM,27%,15%,3,Needed,1972,No,Electric,39,9.53,02/26/2016 12:00:00 AM,"702 Lamar Place
Austin, TX 78752
(30.331155, -97.721878)"
Park Apartments,285043,05/23/2011 12:00:00 AM,9.8%,10%,15,Complete,1973,Yes,Electric,168,8.71,02/26/2016 12:00:00 AM,"1300 S Pleasant Valley
Austin, TX 78741
(30.239828, -97.718897)"
301 E. 33rd St. Apartment,211460,04/30/2011 12:00:00 AM,,N\A,N\A,Needed,1949,No,Electric,8,8.58,02/26/2016 12:00:00 AM,"301 E 33rd St
Austin, TX 78705
(30.296563, -97.733949)"
North Plaza Apartments,243475,03/21/2011 12:00:00 AM,,N\A,12,Needed,1979,No,Gas and Electric,62,7.18,02/26/2016 12:00:00 AM,"9125 North Plaza
Austin, TX 78753
(30.354526, -97.685609)"
1512 WOODLAWN,112154,03/28/2013 12:00:00 AM,34%,10%,10,Needed,1930,No,Gas and Electric,6,3.53,02/26/2016 12:00:00 AM,"1512 WOODLAWN BLVD
Austin, TX 78703
(30.284496, -97.759774)"
Barton Cove Apartments,103585,07/18/2011 12:00:00 AM,,N\A,21,Needed,1979,Yes,Electric,27,9.27,02/26/2016 12:00:00 AM,"1123 Hollow Creek Dr
Austin, TX 78704
(30.26064, -97.772483)"
Statton Park Apartments,498237,04/01/2011 12:00:00 AM,72%,10%,25,Complete,1997,No,Gas and Electric,224,7.4,02/26/2016 12:00:00 AM,"8585 Spicewood Spring Rd
Austin, TX 78759
(30.432125, -97.776686)"
Summerstone Apartments,100327,03/23/2011 12:00:00 AM,51%,10%,3,Needed,1969,Yes,Gas and Electric,20,12.71,02/26/2016 12:00:00 AM,"2017 Bluebonnet Ln
Austin, TX 78704
(30.251422, -97.774279)"
1600 West Avenue Apartments,202073,10/11/2010 12:00:00 AM,22.2%,15%,11,Needed,1973,Yes,Electric,30,11.6,02/26/2016 12:00:00 AM,"1600 West Avenue
Austin, TX 78701
(30.280359, -97.746853)"
Anderson Oaks,R056397,02/16/2011 12:00:00 AM,29%,15%,8,Needed,1983,Yes,Electric,112,11.41,02/26/2016 12:00:00 AM,"9219 Anderson Mill Rd
Austin, TX 78729
(30.451313, -97.782393)"
Stassney Woods,334284,02/09/2011 12:00:00 AM,41%,15%,12,Needed,1983,Yes,Electric,288,9.07,02/26/2016 12:00:00 AM,"1800 E Stassney Ln
Austin, TX 78744
(30.197194, -97.761037)"
Clayton Lane Apts,223338,05/29/2013 12:00:00 AM,53%,10%,12,Needed,1966,Yes,Gas and Electric,38,10.75,02/26/2016 12:00:00 AM,"1105 CLAYTON LN
Austin, TX 78723
(30.318259, -97.701708)"
Grover Apartments,228867,05/10/2011 12:00:00 AM,46%,10%,N\A,Needed,1965,Yes,Gas and Electric,12,8.76,02/26/2016 12:00:00 AM,"5612 Grover Ave
Austin, TX 78756
(30.327898, -97.731047)"
MylesMark at Riata,271973,12/10/2010 12:00:00 AM,41%,15%,28,Complete,2000,No,Gas and Electric,204,7.59,02/26/2016 12:00:00 AM,"12610 Riata Trace Parkway
Austin, TX 78727
(30.431758, -97.739082)"
Princeton Condominiums,312531,03/10/2011 12:00:00 AM,16%,10%,13,Needed,1984,Yes,Electric,28,15.48,02/26/2016 12:00:00 AM,"521 Woodward St
Austin, TX 78704
(30.226573, -97.753779)"
Timbercreek Apartments,101697,05/25/2011 12:00:00 AM,11.3%,15%,10,Complete,1974,Yes,Electric,198,9.37,02/26/2016 12:00:00 AM,"614 S 1St
Austin, TX 78704
(30.256648, -97.751092)"
Sterling Springs,324070,12/11/2012 12:00:00 AM,6%,10%,8,Complete,1984,Yes,Electric,179,17.57,02/26/2016 12:00:00 AM,"2809 W William
Cannon Austin, TX 78745
(30.208125, -97.818232)"
Hunterwood Apartments,512310,06/01/2011 12:00:00 AM,61%,15%,15,Complete,1984,Yes,Electric,161,14.75,02/26/2016 12:00:00 AM,"409 E William
Cannon Austin, TX 78745
(30.192095, -97.775856)"
Woodmoor Apartments,306031,05/06/2011 12:00:00 AM,40%,15%,6,Complete,1981,Yes,Electric,208,10.68,02/26/2016 12:00:00 AM,"3505 S Lamar
Austin, TX 78704
(30.239714, -97.787776)"
38th Street Condos,214743,11/05/2012 12:00:00 AM,66%,15%,N\A,Complete,1972,No,Electric,8,12.9,02/26/2016 12:00:00 AM,"112 W 38 ST
Austin, TX 78705
(30.301023, -97.734613)"
Sienna Villas,305897,02/11/2011 12:00:00 AM,24%,10%,12,Needed,1977,Yes,Electric,16,9.34,02/26/2016 12:00:00 AM,"3413 Manchaca Rd
Austin, TX 78704
(30.238888, -97.782733)"
WANG PAMELA PAN,133828,04/02/2011 12:00:00 AM,56%,10%,24,Needed,1981,No,Electric,6,12.97,02/26/2016 12:00:00 AM,"3619 North Hills Drive
Austin, TX 78731
(30.352004, -97.756979)"
1203 W. 49th St. Apts.,223184,04/07/2011 12:00:00 AM,33%,10%,2,Needed,1980,No,Gas and Electric,11,6.77,02/26/2016 12:00:00 AM,"1203 W 49th St
Austin, TX 78756
(30.318929, -97.737127)"
Beech Apartments,242744,03/23/2011 12:00:00 AM,55%,10%,4,Needed,1967,Yes,Electric,15,11.26,02/26/2016 12:00:00 AM,"8410 Beech Dr
Austin, TX 78758
(30.358386, -97.71476)"
Wooten Park Apartments,241448,05/17/2011 12:00:00 AM,69%,10%,30,Complete,1968,No,Gas and Electric,5,3.91,02/26/2016 12:00:00 AM,"1742 WOOTEN PARK DR
Austin, TX 78757
(30.353601, -97.723667)"
Rockwood Apartments,250017,09/20/2010 12:00:00 AM,8%,10%,21,Complete,1983,Yes,Electric,88,10.75,02/26/2016 12:00:00 AM,"8615 Rockwood Ln
Austin, TX 78757
(30.368978, -97.729623)"
6th Street West,107163,02/21/2011 12:00:00 AM,13%,10%,19,Needed,1961,Yes,Gas and Electric,60,11.12,02/26/2016 12:00:00 AM,"1614 W 6th St
Austin, TX 78703
(30.27531, -97.76361)"
Century Plaza Apartments,214976,12/29/2010 12:00:00 AM,37%,10%,11,Needed,1970,Yes,Gas and Electric,73,11.5,02/26/2016 12:00:00 AM,"4210 Red River
Austin, TX 78751
(30.302197, -97.721209)"
Heritage Oaks Apartments,305344,03/21/2011 12:00:00 AM,8.7%,10%,30,Needed,1983,Yes,Electric,104,11.87,02/26/2016 12:00:00 AM,"3506 Manchaca Rd
Austin, TX 78704
(30.238331, -97.782987)"
Spring Hollow,217295,04/01/2011 12:00:00 AM,12%,10%,11,Needed,1983,Yes,Electric,50,18.67,02/26/2016 12:00:00 AM,"4803 Loyola Lane
Austin, TX 78723
(30.308603, -97.666014)"
Bradford Pointe,260360,05/18/2011 12:00:00 AM,75%,15%,19,Needed,1982,Yes,Electric,264,14.09,02/26/2016 12:00:00 AM,"11701 Metric Blvd
Austin, TX 78758
(30.396457, -97.705396)"
Park Court Apartments,211827,01/24/2011 12:00:00 AM,12%,10%,19,Complete,1984,Yes,Electric,24,9.54,02/26/2016 12:00:00 AM,"923 E 41St St
Austin, TX 78751
(30.298799, -97.720573)"
3006 Duval St.,208470,05/20/2011 12:00:00 AM,,N\A,4,Needed,1955,Yes,Gas and Electric,8,12.94,02/26/2016 12:00:00 AM,"3006 Duval St
Austin, TX 78705
(30.292388, -97.733822)"
Chaparral,509976,01/24/2011 12:00:00 AM,19%,10%,7,Needed,1973,Yes,Electric,29,12.12,02/26/2016 12:00:00 AM,"4601 Sagebrush Trail
Austin, TX 78745
(30.228875, -97.79959)"
Littlefield House Apartments,208147,05/23/2011 12:00:00 AM,11.6%,15%,3,Complete,1984,No,Electric,16,12.27,02/26/2016 12:00:00 AM,"2606 Rio
Grande Austin, TX 78705
(30.29128, -97.744334)"
Imt Monterey Ranch,372096,02/06/2013 12:00:00 AM,32%,15%,20,Needed,1999,Yes,Electric,447,10.97,02/26/2016 12:00:00 AM,"4600 Monterey Oaks Blvd
Austin, TX 78749
(30.230964, -97.837765)"
Camino Real Apartments,208133,04/13/2011 12:00:00 AM,75%,15%,30,Needed,1968,Yes,Electric,67,9.02,02/26/2016 12:00:00 AM,"2810 Salado
Austin, TX 78705
(30.29436, -97.74511)"
Hallmark Apartments,212497,04/30/2011 12:00:00 AM,22%,10%,15,Needed,1967,Yes,Gas and Electric,16,7.34,02/26/2016 12:00:00 AM,"710 W 34Th St
Austin, TX 78705
(30.301383, -97.741953)"
La Casita,206888,12/28/2011 12:00:00 AM,38.9%,10%,N\A,Needed,1968,Yes,Gas and Electric,26,12.53,02/26/2016 12:00:00 AM,"2900 COLE ST
Austin, TX 78705
(30.287719, -97.725129)"
The Lyric at Mueller,807400,07/29/2015 12:00:00 AM,71%,10%,N\A,Needed,1969,Yes,Gas and Electric,58,8.37,02/26/2016 12:00:00 AM,"5020 MANOR RD
Austin, TX 78723
(30.29808, -97.687096)"
Nova House,208472,05/25/2011 12:00:00 AM,75%,15%,N\A,Needed,1960,Yes,Gas and Electric,12,8.66,02/26/2016 12:00:00 AM,"406 E 30th
Austin, TX 78705
(30.292158, -97.734758)"
Hyde Park Apartments,215870,03/04/2011 12:00:00 AM,70%,10%,N\A,Needed,1968,Yes,Gas and Electric,30,8.65,02/26/2016 12:00:00 AM,"4410 AVENUE
F Austin, TX 78751
(30.30802, -97.72756)"
Sierra Ridge Apartments,316665,03/20/2011 12:00:00 AM,9.5%,10%,27,Needed,1972,Yes,Electric,149,5.73,02/26/2016 12:00:00 AM,"201 W St Elmo Rd
Austin, TX 78745
(30.219043, -97.768669)"
Golden Mermaid,203694,11/09/2012 12:00:00 AM,9%,10%,10,Needed,1978,Yes,Electric,12,17.02,02/26/2016 12:00:00 AM,"2100 Nueces Street
Austin, TX 78705
(30.284171, -97.744026)"
Avalon Palms I,250061,05/15/2011 12:00:00 AM,59%,10%,19,Complete,1973,Yes,Electric,207,12.07,02/26/2016 12:00:00 AM,"9300 Northgate Blvd
Austin, TX 78758
(30.372254, -97.715422)"
Lafayette Landing Apartments,286257,05/18/2011 12:00:00 AM,42.9%,15%,N\A,Complete,1973,Yes,Electric,174,9.97,02/26/2016 12:00:00 AM,"1845 Burton Dr
Austin, TX 78741
(30.234568, -97.730574)"
Ave A,217892,03/09/2011 12:00:00 AM,,N\A,N\A,Needed,1973,Yes,Electric,14,10.31,02/26/2016 12:00:00 AM,"4100 Avenue
A Austin, TX 78751
(30.30608, -97.73483)"
Hawthorne at the District,287935,06/14/2011 12:00:00 AM,19%,10%,19,Needed,1987,Yes,Electric,284,11.31,02/26/2016 12:00:00 AM,"2239 Cromwell Cir
Austin, TX 78741
(30.229259, -97.719041)"
Hunter's Chase,R065343,05/27/2011 12:00:00 AM,12.3%,15%,30,Complete,1983,No,Electric,215,14.2,02/26/2016 12:00:00 AM,"12342 Hunter's Chase Dr
Austin, TX 78729
(30.442293, -97.771341)"
Cliff House Apartments,282995,05/23/2011 12:00:00 AM,37%,10%,N\A,Needed,1972,Yes,Electric,18,13.25,02/26/2016 12:00:00 AM,"513 Pecan Grove Rd
Austin, TX 78704
(30.248964, -97.743755)"
Le Montreaux Apartments,442704,05/26/2011 12:00:00 AM,60%,15%,N\A,Complete,1973,Yes,Electric,223,10.15,02/26/2016 12:00:00 AM,"3605 Steck Ave
Austin, TX 78759
(30.369422, -97.744956)"
Algarita Apartments Phase Ii,285313,10/05/2010 12:00:00 AM,39%,15%,11,Complete,1971,Yes,Gas and Electric,96,4.66,02/26/2016 12:00:00 AM,"1221 Algarita Ave
Austin, TX 78704
(30.237443, -97.741217)"
North Village Apartments,240126,02/18/2011 12:00:00 AM,12%,10%,15,Needed,1983,Yes,Electric,104,11.4,02/26/2016 12:00:00 AM,"2101 W Anderson Ln
Austin, TX 78757
(30.354772, -97.728099)"
