Community Name,TCAD or WCAD Property ID(s),Audit Date,Percent Duct Leakage,Recommend Duct Leakage,Attic R-Value,Window Screens,Year Built,Common Wash Dryer,Utilities,Total Units,Community EUI (kWh/sqft/yr),As of,Address
Somerset Townhomes,133195,08/12/2011 12:00:00 AM,29,15%,12,Needed,1996,No,Gas and Electric,123,6.72,02/10/2014 12:00:00 AM,"6800 Austin Center Blvd.
Austin, TX 78731
(30.35013092000048, -97.75099024099967)"
Pepperwood Apartments,235853,05/19/2011 12:00:00 AM,36,10%,11,Needed,1972,Yes,Electric,40,10.56,02/10/2014 12:00:00 AM,"6710 Burnet Lane
Austin, TX 78757
(30.343183174000444, -97.73692182499968)"
Metropolitian,285500,10/30/2012 12:00:00 AM,75,10%,1,Complete,1959,Yes,Gas and Electric,26,13,02/10/2014 12:00:00 AM,"2423 TOWN LAKE CIR
Austin, TX 78741
(30.238725357000476, -97.72259757599966)"
Delwood Station,210721,05/24/2011 12:00:00 AM,47,10%,,Complete,1968,Yes,Gas and Electric,74,8.14,02/10/2014 12:00:00 AM,"1230 E. 38th 1/2 St
Austin, TX 78722
(30.29392589100047, -97.7175602159997)"
5516 Roosevelt,228848,03/29/2011 12:00:00 AM,29,10%,,Needed,1984,No,Electric,12,13.57,02/10/2014 12:00:00 AM,"5516 Roosevelt Avenue
Austin, TX 78756
(30.32694728700045, -97.7325466159997)"
Yellowstone Apts,218522,03/15/2013 12:00:00 AM,15,10%,8,Complete,1963,Yes,Gas and Electric,16,7.36,02/10/2014 12:00:00 AM,"1215 E 52 ST
Austin, TX 78723
(30.308785552000472, -97.70616270799968)"
Riverside Meadows,530238,12/05/2012 12:00:00 AM,23.5,15%,18,Needed,2002,Yes,Gas and Electric,240,8.93,02/10/2014 12:00:00 AM,"1601 MONTOPOLIS DR
Austin, TX 78741
(30.227594276000445, -97.70175552099965)"
Camden Laurel Ridge,273228,03/02/2011 12:00:00 AM,18,10%,24,Needed,1986,Yes,Electric,183,14.67,02/10/2014 12:00:00 AM,"13005 Heinemann Dr.
Austin, TX 78727
(30.44037819200048, -97.74493553999969)"
The Gardens,284935,03/14/2011 12:00:00 AM,11.4,10%,,Needed,1963,Yes,Electric,40,7.96,02/10/2014 12:00:00 AM,"1505 Sunnyvale St
Austin, TX 78741
(30.24402559000049, -97.73443338099969)"
4th Street Apartments,303645,02/01/2011 12:00:00 AM,16,10%,13,Complete,1996,Yes,Electric,11,7.59,02/10/2014 12:00:00 AM,"2402 S. 4th St
Austin, TX 78704
(30.242792620000444, -97.76342891099966)"
Century Plaza,214976,12/29/2010 12:00:00 AM,37,10%,11,Needed,1970,Yes,Gas and Electric,45,11.79,02/10/2014 12:00:00 AM,"4210 Red River
Austin, TX 78751
(30.30223221300048, -97.7212189229997)"
Grover Apartments,228867,05/10/2011 12:00:00 AM,46,10%,,Needed,1965,Yes,Gas and Electric,12,6.91,02/10/2014 12:00:00 AM,"5612 Grover Ave
Austin, TX 78756
(30.32789718400045, -97.7310661039997)"
Creekwood Village,230698,05/23/2011 12:00:00 AM,15,15%,19,Needed,1983,Yes,Electric,96,11.01,02/10/2014 12:00:00 AM,"1601 E. Anderson Ln.
Austin, TX 78752
(30.331234850000442, -97.68413150599969)"
3001 Speedway,208519,02/09/2011 12:00:00 AM,,N\A,16,Needed,1960,Yes,Electric,24,9.64,02/10/2014 12:00:00 AM,"300 E 30th St
Austin, TX 78705
(30.293022245000486, -97.73581203299966)"
820 Houston St,226509,11/09/2012 12:00:00 AM,29,10%,12,Needed,1966,Yes,Gas and Electric,16,7.78,02/10/2014 12:00:00 AM,"820 HOUSTON ST
Austin, TX 78756
(30.323606069000448, -97.72890810999968)"
Abbey Road,245907,01/04/2011 12:00:00 AM,39,15%,11,Complete,1970,Yes,Electric,156,7.44,02/10/2014 12:00:00 AM,"2601 Penny Lane
Austin, TX 78757
(30.36523569500048, -97.72994209899969)"
Monticello Apartments,214664,02/22/2011 12:00:00 AM,16,10%,19,Needed,1969,Yes,Gas and Electric,16,8.28,02/10/2014 12:00:00 AM,"306 W 38th St
Austin, TX 78705
(30.301616321000438, -97.73576820999966)"
WESTWOOD APTS,R056943,02/22/2013 12:00:00 AM,8,10%,11,Needed,1989,Yes,Electric,168,13.56,02/10/2014 12:00:00 AM,"12403 MELLOW MEADOW DR
Austin, TX 78750
(30.457026252000446, -97.7969192759997)"
Westgate apartments,511943,05/31/2011 12:00:00 AM,19,10%,26,Needed,1984,No,Electric,24,13.32,02/10/2014 12:00:00 AM,"6809 Westgate Blvd
Austin, TX 78745
(30.20688170000045, -97.7956469989997)"
Cypress Tree Apartments,228796,03/10/2011 12:00:00 AM,9,10%,,Needed,1971,Yes,Electric,16,7.41,02/10/2014 12:00:00 AM,"5608 Woodrow Ave
Austin, TX 78756
(30.328487020000466, -97.73312579299966)"
The Boardwalk at Robbins,112558,05/23/2011 12:00:00 AM,38,10%,,Needed,2004,No,Gas and Electric,8,9.3,02/10/2014 12:00:00 AM,"1905 Robbins Pl
Austin, TX 78705
(30.28434762900048, -97.7493794449997)"
404 W 35th,212881,12/16/2010 12:00:00 AM,32,10%,11,Complete,1972,No,Electric,10,11.62,02/10/2014 12:00:00 AM,"404 W 35th
Austin, TX 78751
(30.31036235200048, -97.72429766299967)"
Winflo Apartments,106797,04/29/2011 12:00:00 AM,44,15%,,Complete,1973,Yes,Electric,20,14.34,02/10/2014 12:00:00 AM,"808 Winflo Drive
Austin, TX 78703
(30.275664722000442, -97.7579344349997)"
ViewPoint Apartments,206064,02/04/2011 12:00:00 AM,72,15%,,Needed,1970,Yes,Electric,60,12.27,02/10/2014 12:00:00 AM,"2518 Leon St
Austin, TX 78705
(30.290902151000466, -97.74910939899968)"
Fiesta Place II,217904,05/11/2011 12:00:00 AM,7,15%,,Complete,1972,Yes,Gas and Electric,25,13.38,02/10/2014 12:00:00 AM,"4206 Avenue A
Austin, TX 78751
(30.307577454000466, -97.7339063179997)"
Quail Park Village,"252113, 252117, 252115",04/08/2011 12:00:00 AM,28,10%,30,Needed,1976,Yes,Gas and Electric,142,6.35,02/10/2014 12:00:00 AM,"9920 Quail Park Blvd
Austin, TX 78758
(30.372228449000488, -97.7000677369997)"
5512 Jim Hogg Avenue,229604,11/13/2012 12:00:00 AM,12,10%,11,Needed,1969,Yes,Gas and Electric,10,8.88,02/10/2014 12:00:00 AM,"5512 JIM HOGG AVE
Austin, TX 78756
(30.32872627100045, -97.7360856309997)"
Longspur Crossing,249275,02/17/2012 12:00:00 AM,9.7,10%,10,Complete,1984,Yes,Electric,251,14.83,02/10/2014 12:00:00 AM,"701 W LONGSPUR BLVD
Austin, TX 78753
(30.36663448300044, -97.69224234399968)"
2302 Leon Street Apartments LP,112388,05/09/2011 12:00:00 AM,,N\A,,Needed,1973,Yes,Electric,15,10.1,02/10/2014 12:00:00 AM,"2302 Leon St.
Austin, TX 78705
(30.287463810000474, -97.74946235399966)"
4010 Speedway,214764,05/20/2011 12:00:00 AM,14,10%,17,Needed,1946,No,Electric,9,4.75,02/10/2014 12:00:00 AM,"4010 Speedway
Austin, TX 78751
(30.30390696900048, -97.73146643499967)"
Enclave at Riata,439992,11/30/2010 12:00:00 AM,53,15%,17,Complete,1997,Yes,Gas and Electric,154,8.85,02/10/2014 12:00:00 AM,"12320 Alameda Trace Circle
Austin, TX 78727
(30.42986181900045, -97.7481002829997)"
Norwalk,"112858, 112830",05/09/2011 12:00:00 AM,22,10%,5,Needed,1962,Yes,Gas and Electric,61,7.09,02/10/2014 12:00:00 AM,"1403 Norwalk Ln
Austin, TX 78703
(30.289294907000453, -97.77192468099969)"
606 ELMWOOD,208661,12/13/2012 12:00:00 AM,55,10%,38,Complete,1959,Yes,Gas and Electric,8,9.49,02/10/2014 12:00:00 AM,"606 ELMWOOD PL
Austin, TX 78705
(30.29038574900045, -97.73300853499967)"
Paradise Oaks,380088,05/23/2011 12:00:00 AM,23,15%,22,Complete,1996,Yes,Electric,248,8.82,02/10/2014 12:00:00 AM,"1500 Faro Dr
Austin, TX 78741
(30.23464506600044, -97.7137429289997)"
Springdale Estate,525330,11/07/2012 12:00:00 AM,31,10%,25,Complete,2004,No,Gas and Electric,43,10.89,02/10/2014 12:00:00 AM,"1050 SPRINGDALE RD
Austin, TX 78721
(30.270647564000456, -97.69234538699965)"
Eastside Commons,204045,02/18/2011 12:00:00 AM,24,10%,1,Needed,1963,Yes,Gas and Electric,78,7.37,02/10/2014 12:00:00 AM,"2401 Manor Rd
Austin, TX 78722
(30.284673342000474, -97.7166767119997)"
Town Lake Student Apts,285047,01/11/2013 12:00:00 AM,23,15%,30,Needed,2003,No,Gas and Electric,216,9.67,02/10/2014 12:00:00 AM,"1109 S PLEASANT VALLEY RD
Austin, TX 78702
(30.242214627000465, -97.7173743299997)"
Gatewood North,250110,05/10/2010 12:00:00 AM,52.9,15%,,Needed,1972,Yes,Electric,55,9.7,02/10/2014 12:00:00 AM,"1830 W RUNDBERG LN
Austin, TX 78758
(30.371726260000457, -97.71491786399969)"
Baccarat Apartments,209053,02/11/2011 12:00:00 AM,47,10%,9,Needed,1969,Yes,Gas and Electric,14,8.65,02/10/2014 12:00:00 AM,"3703 Harmon Avenue
Austin, TX 78705
(30.294274166000434, -97.7212959099997)"
Madison at Wells Branch,549351,04/06/2011 12:00:00 AM,40,10%,16,Needed,1995,No,Electric,297,8.26,02/10/2014 12:00:00 AM,"3201 Century Park
Austin, TX 78727
(30.43514428600048, -97.6979192179997)"
The Brook in Travis Heights,284601,06/13/2011 12:00:00 AM,71,10%,,Needed,1972,Yes,Electric,175,8.24,02/10/2014 12:00:00 AM,"1824 S. IH 35
Austin, TX 78741
(30.231461397000487, -97.72082600399966)"
4501 Speedway,220117,11/09/2012 12:00:00 AM,20,15%,11,Needed,1967,Yes,Electric,8,10.89,02/10/2014 12:00:00 AM,"4501 SPEEDWAY
Austin, TX 78751
(30.308813977000455, -97.7282756359997)"
Wildflower,242990,02/14/2011 12:00:00 AM,39,15%,14,Needed,1983,Yes,Electric,191,13.17,02/10/2014 12:00:00 AM,"8912 N. Lamar Blvd
Austin, TX 78753
(30.35837559500044, -97.69973728699966)"
Westdale Creek,242300,09/19/2011 12:00:00 AM,75,10%,1,Complete,1979,Yes,Gas and Electric,244,6.34,02/10/2014 12:00:00 AM,"7630 WOOD HOLLOW DR
Austin, TX 78731
(30.36040685700044, -97.74916743499966)"
Hampton Park Terrace,305874,02/17/2011 12:00:00 AM,31,10%,22,Needed,1985,No,Electric,20,10.84,02/10/2014 12:00:00 AM,"3604 Clawson Rd
Austin, TX 78704
(30.234680598000466, -97.77986259299968)"
Crestview Station,235104,02/02/2011 12:00:00 AM,33,10%,,Complete,1969,Yes,Gas and Electric,39,8.74,02/10/2014 12:00:00 AM,"615 W. St. Johns Ave
Austin, TX 78752
(30.338475145000473, -97.71594237799968)"
The Villas of Quail Creek,243037,10/30/2012 12:00:00 AM,26.24,10%,30,Needed,1982,Yes,Electric,172,12.16,02/10/2014 12:00:00 AM,"9036 N LAMAR BLVD
Austin, TX 78753
(30.360205508000433, -97.69869737499965)"
Turnberry Apts - Bldg B,211830,05/01/2011 12:00:00 AM,35,10%,11,Needed,1966,Yes,Gas and Electric,12,8.54,02/10/2014 12:00:00 AM,"910 E 40th St
Austin, TX 78751
(30.298355641000455, -97.7221084149997)"
Brentwood Townhomes,227758,03/30/2011 12:00:00 AM,75,10%,,Needed,1966,Yes,Electric,48,10.13,02/10/2014 12:00:00 AM,"5506 Grover Ave.
Austin, TX 78756
(30.32587658200049, -97.73235592599968)"
Mark 5 Apartments,214720,04/29/2011 12:00:00 AM,26,10%,,Complete,1969,Yes,Gas and Electric,16,7.27,02/10/2014 12:00:00 AM,"3914 Avenue D
Austin, TX 78751
(30.30315723700045, -97.73316606199967)"
Dolphin Apartments,"216426, 216423, 216424",05/05/2011 12:00:00 AM,27,15%,,Needed,1972,,Gas and Electric,40,10.35,02/10/2014 12:00:00 AM,"927 E. 46 Street
Austin, TX 78751
(30.30501557600047, -97.71636284299967)"
The Breakers,283710,02/09/2011 12:00:00 AM,24,10%,11,Needed,1963,Yes,Electric,203,8.3,02/10/2014 12:00:00 AM,"1500 E Riverside
Austin, TX 78741
(30.247124005000444, -97.73290312299969)"
The Arrangement (Parkview At Townlake),287617,05/04/2011 12:00:00 AM,75,15%,19,Complete,1972,Yes,Electric,370,6.19,02/10/2014 12:00:00 AM,"2101 Burton Dr.
Austin, TX 78741
(30.23272040100045, -97.73220905999966)"
502 W. 17th Street Apartments,199777,02/18/2011 12:00:00 AM,26,10%,,Needed,1984,No,Electric,11,10.47,02/10/2014 12:00:00 AM,"502 W. 17th St
Austin, TX 78701
(30.280177323000487, -97.74379258499965)"
,211486,05/31/2011 12:00:00 AM,,N\A,19,Needed,1949,Yes,Electric,8,5.13,02/10/2014 12:00:00 AM,"300-302 E. 33rd
Austin, TX 78705
(30.29553389700044, -97.73181767299968)"
Oakhurst apts.,242624,03/07/2011 12:00:00 AM,26,10%,12,Needed,1969,Yes,Gas and Electric,12,12.94,02/10/2014 12:00:00 AM,"8507 Kromer
Austin, TX 78757
(30.36004442900048, -97.71772491499968)"
Peyton Place Apartments,244729,03/08/2011 12:00:00 AM,27,10%,18,Needed,1985,Yes,Electric,36,14.76,02/10/2014 12:00:00 AM,"1611 Payton Gin Rd #102
Austin, TX 78758
(30.364574795000465, -97.71521159799966)"
2813 Rio Grande St,208199,11/20/2012 12:00:00 AM,22,10%,20,Needed,1983,No,Electric,5,10.71,02/10/2014 12:00:00 AM,"2813 RIO GRANDE ST
Austin, TX 78705
(30.294428139000445, -97.74399867199969)"
4307 CASWELL,214988,12/20/2012 12:00:00 AM,22,10%,10,Complete,1967,No,Gas and Electric,7,6.25,02/10/2014 12:00:00 AM,"4307 CASWELL AVE
Austin, TX 78751
(30.303484134000485, -97.7221451319997)"
Post Barton Creek,102905,02/15/2011 12:00:00 AM,65,15%,16,Complete,1997,No,Gas and Electric,160,8.96,02/10/2014 12:00:00 AM,"2001 South Mopac
Austin, TX 78746
(30.258625807000442, -97.7962382399997)"
Gateway Apartments,232402,04/25/2011 12:00:00 AM,24,10%,15,Needed,1974,Yes,Electric,12,11.24,02/10/2014 12:00:00 AM,"505 Swanee Dr
Austin, TX 78752
(30.33523460100048, -97.71514290199968)"
Village Park Apartments,236535,05/17/2011 12:00:00 AM,57,15%,14,Needed,1979,Yes,Electric,52,11.5,02/10/2014 12:00:00 AM,"8033 Gessner Drive
Austin, TX 78753
(30.344657764000488, -97.70185264199966)"
Northland Canyon Creek,158143,04/12/2011 12:00:00 AM,11,10%,18,Complete,1984,Yes,Electric,236,13.42,02/10/2014 12:00:00 AM,"11316 Jollyville Rd
Austin, TX 78759
(30.411103140000478, -97.74785155599966)"
Frost Villa Apartments,244603,11/16/2010 12:00:00 AM,29,10%,,Needed,1970,Yes,Gas and Electric,20,12.65,02/10/2014 12:00:00 AM,"8501 Dryfield Dr.
Austin, TX 78758
(30.359233108000467, -97.71482547999966)"
THE MARQUIS AT TREE TOPS,423980,05/13/2011 12:00:00 AM,20,15%,23,Complete,1997,,Electric,240,8.54,02/10/2014 12:00:00 AM,"5217 OLD SPICEWOOD SPRINGS RD.
Austin, TX 78731
(30.38297308200049, -97.76738168299966)"
Grooms Street Townhouses,211504,02/01/2011 12:00:00 AM,9,10%,11,Complete,1967,No,Gas and Electric,5,6.48,02/10/2014 12:00:00 AM,"3401 Grooms St.
Austin, TX 78705
(30.297707811000464, -97.7334319689997)"
Waterston Apartments,110315,02/21/2011 12:00:00 AM,,N\A,17,Needed,1973,Yes,Electric,16,12.41,02/10/2014 12:00:00 AM,"1814 Waterston
Austin, TX 78703
(30.283095708000474, -97.7636385509997)"
St. Edward's Place,310853,05/09/2011 12:00:00 AM,17,15%,16,Needed,1983,Yes,Electric,24,9.35,02/10/2014 12:00:00 AM,"125 Woodward St
Austin, TX 78704
(30.229085447000443, -97.75910226299965)"
SAINT LOUISE HOUSE (Patrice Townhomes),305377,04/24/2011 12:00:00 AM,59,10%,9,Complete,1969,Yes,Gas and Electric,24,9.65,02/10/2014 12:00:00 AM,"3200 S. Lamar Blvd.
Austin, TX 78704
(30.24167453700045, -97.78509649899968)"
Spanish Trails,216396,04/29/2011 12:00:00 AM,39,15%,,Needed,1971,Yes,Gas and Electric,40,6.92,02/10/2014 12:00:00 AM,"4520 Bennett Avenue
Austin, TX 78751
(30.304917270000487, -97.7171765329997)"
Balcones Woods,262089,02/24/2011 12:00:00 AM,18,10%,7,Needed,1982,Yes,Electric,384,12.72,02/10/2014 12:00:00 AM,"11215 Research Blvd
Austin, TX 78759
(30.40855073700044, -97.74468918299965)"
3011 Whitis,210365,02/01/2011 12:00:00 AM,56,10%,14,Complete,1962,Yes,Gas and Electric,20,12.15,02/10/2014 12:00:00 AM,"3011 Whitis
Austin, TX 78705
(30.29598445300047, -97.73888557599969)"
Bluffs @ Townlake,289154,05/06/2011 12:00:00 AM,71,10%,16,Needed,1974,Yes,Electric,298,11.37,02/10/2014 12:00:00 AM,"2005 Willow Creek Dr.
Austin, TX 78741
(30.23245390800048, -97.72921487199966)"
Anderson Oaks,R056397,02/16/2011 12:00:00 AM,29,15%,8,Needed,1983,Yes,Electric,112,11.27,02/10/2014 12:00:00 AM,"9219 Anderson Mill Rd
Austin, TX 78729
(30.45120369400047, -97.78267319699967)"
1037 E 44th ST,213383,05/18/2012 12:00:00 AM,32,10%,18,Needed,1967,Yes,Gas and Electric,12,9.25,02/10/2014 12:00:00 AM,"1037 E 44 ST
Austin, TX 78751
(30.30160566100045, -97.71674303899965)"
5213 Joe Sayers,226372,04/07/2011 12:00:00 AM,28,10%,12,Needed,1966,No,Electric,6,9.08,02/10/2014 12:00:00 AM,"5213 Joe Sayers
Austin, TX 78756
(30.32397441900048, -97.73748560399969)"
Mauna Kai Austin,208517,05/06/2011 12:00:00 AM,75,10%,10,Needed,1962,Yes,Electric,43,7.4,02/10/2014 12:00:00 AM,"405 E. 31st
Austin, TX 78705
(30.292967762000444, -97.7341076679997)"
Sunshine Terrace,228897,04/28/2012 12:00:00 AM,8.25,10%,8,Needed,1968,Yes,Gas and Electric,28,6.94,02/10/2014 12:00:00 AM,"5607 Sunshine Dr
Austin, TX 78756
(30.326144258000454, -97.7291651269997)"
2710 NUECES LTD,208175,04/14/2011 12:00:00 AM,21,15%,18,Complete,1986,No,Electric,40,11.21,02/10/2014 12:00:00 AM,"603 W 28 ST
Austin, TX 78705
(30.29329347500044, -97.7431020739997)"
Salem Walk,319533,02/17/2011 12:00:00 AM,18,10%,12,Complete,1984,Yes,Electric,122,16.34,02/10/2014 12:00:00 AM,"1016 W Stassney Ln
Austin, TX 78745
(30.210324401000435, -97.78603455199965)"
Ave A,217892,03/09/2011 12:00:00 AM,,N\A,,Needed,1973,Yes,Electric,14,9.56,02/10/2014 12:00:00 AM,"4100 Ave A
Austin, TX 78751
(30.306096942000465, -97.7348562149997)"
Wood Ridge,286043,05/26/2011 12:00:00 AM,65,10%,,Needed,1968,Yes,Gas and Electric,134,3.39,02/10/2014 12:00:00 AM,"1900 Burton Dr.
Austin, TX 78741
(30.23420446600045, -97.73124613399966)"
Windsor Gardens,114464,09/23/2010 12:00:00 AM,,N\A,1,Needed,1950,Yes,Electric,10,6.45,02/10/2014 12:00:00 AM,"3010 Windsor
Austin, TX 78703
(30.295071273000474, -97.7664586309997)"
Wickersham Green,287438,03/07/2011 12:00:00 AM,63,10%,,Needed,1974,Yes,Electric,192,9.76,02/10/2014 12:00:00 AM,"2310 Wickersham Ln
Austin, TX 78741
(30.22874078500047, -97.72151265599967)"
301 E. 33rd St. Apartment,211460,04/30/2011 12:00:00 AM,,N\A,,Needed,1949,No,Electric,8,6.73,02/10/2014 12:00:00 AM,"301 E. 33rd St.
Austin, TX 78705
(30.296515068000474, -97.73398212099966)"
Ridgetop Gardens,"216559, 216558, 216560",10/19/2011 12:00:00 AM,,N/A,38,Needed,1961,No,Gas and Electric,18,9.01,02/10/2014 12:00:00 AM,"1309 E 52 ST
Austin, TX 78723
(30.30827507100048, -97.70505291699965)"
Adobe Apartments,212850,01/30/2012 12:00:00 AM,23,15%,30,Needed,1971,Yes,Electric,21,11.81,02/10/2014 12:00:00 AM,"110 E 37 ST
Austin, TX 78705
(30.299726002000455, -97.73345861099966)"
Club at Summer Valley,332560,09/15/2010 12:00:00 AM,18,15%,18,Needed,1983,Yes,Electric,260,9.99,02/10/2014 12:00:00 AM,"744 William Cannon Dr. West
Austin, TX 78744
(30.197551901000452, -97.78853901599967)"
Bainbridge Villas,307720,05/06/2011 12:00:00 AM,25,15%,7,Needed,1969,Yes,Gas and Electric,232,6.33,02/10/2014 12:00:00 AM,"3603 Southridge Dr
Austin, TX 78704
(30.234482802000457, -97.77781237999966)"
Toscana Apartment Homes,R413951,05/27/2011 12:00:00 AM,10.7,15%,19,Complete,2001,Yes,Electric,358,8.35,02/10/2014 12:00:00 AM,"13355 US 183 N.
Austin, TX 78750
(30.445286111000485, -97.78752235699966)"
Scott I,211503,05/17/2011 12:00:00 AM,,N\A,,Needed,1950,Yes,Electric,12,5.93,02/10/2014 12:00:00 AM,"302 E 34 ST
Austin, TX 78705
(30.29747562400047, -97.73309855099967)"
